{17180204415, 204}
{34359862883, 269}
{17180205919, 312}
{17180205802, 489}
{25769966305, 505}
{34359862884, 272}
{42949884307, 231}
{17180252134, 205}
{42949884308, 249}
{34359862885, 283}
{25769966306, 502}
{17180252135, 266}
{17180205803, 497}
{25769966307, 504}
{42949884309, 248}
{17180252136, 264}
{17180205804, 501}
{34359862886, 288}
{17180252137, 219}
{17180205030, 477}
{17180205805, 505}
{25769966308, 505}
{34359862887, 288}
{17180205031, 504}
{25769966309, 506}
{17180205806, 509}
{51540002220, 226}
{42949925090, 302}
{17180205032, 518}
{17180205807, 512}
{51539741881, 201}
{17180205808, 513}
{17180205033, 539}
{51540002221, 223}
{42949925091, 304}
{51539741882, 206}
{17180205809, 530}
{17180205034, 550}
{42949925092, 306}
{60129818358, 247}
{51540002222, 221}
{25770238880, 285}
{60129818359, 246}
{51539741883, 209}
{42949925093, 308}
{51540002223, 221}
{17180205035, 560}
{42949925094, 310}
{42949924860, 319}
{51539965011, 206}
{51540002224, 221}
{51539741884, 213}
{25770238881, 282}
{17180205036, 571}
{51539741885, 220}
{34359862820, 289}
{51539963230, 203}
{51539965012, 204}
{42949924861, 322}
{25770238882, 276}
{42949925095, 319}
{51540002225, 220}
{17180205037, 572}
{51540002226, 217}
{51539741886, 228}
{51539965013, 204}
{17180205038, 577}
{42949925096, 325}
{42949939613, 260}
{25769967260, 202}
{51539963231, 206}
{25770238883, 224}
{42949924862, 326}
{34359862821, 286}
{34359862822, 273}
{42949924863, 325}
{17180086852, 442}
{51540002227, 205}
{25769967261, 219}
{42949925097, 330}
{17180205039, 580}
{51539741887, 233}
{51539741888, 237}
{42949925098, 250}
{25769967262, 237}
{34359862823, 269}
{42949924864, 328}
{8590329486, 201}
{42949924865, 328}
{51539741889, 251}
{25769967263, 249}
{34359862824, 269}
{25770070800, 206}
{25770070801, 204}
{8590329487, 202}
{17180205870, 238}
{34359862825, 210}
{42949924866, 331}
{25769967264, 257}
{25770070802, 206}
{17180036130, 601}
{25769967265, 261}
{42949924867, 331}
{34359862826, 207}
{17180205420, 580}
{25769813625, 243}
{17180205871, 241}
{42949884376, 202}
{8590329488, 205}
{42949924868, 333}
{60129590478, 214}
{25769813626, 245}
{42949884377, 203}
{25769967266, 263}
{8590329489, 206}
{17180205872, 244}
{25770070803, 204}
{17180036131, 598}
{17180205421, 585}
{17180036132, 596}
{60129590479, 220}
{25769813627, 250}
{17180205873, 247}
{17180205422, 588}
{42949884378, 223}
{25770070804, 204}
{25769967267, 267}
{42949924869, 334}
{42949884379, 228}
{25770070805, 204}
{17180205423, 591}
{17180205874, 249}
{25769967268, 287}
{17180036133, 593}
{25769863010, 267}
{25770070806, 202}
{25769967269, 296}
{25770239052, 217}
{17180205424, 596}
{17180205875, 249}
{17180036134, 593}
{25769966260, 391}
{25769863011, 264}
{17180205876, 249}
{17180205425, 618}
{25769863012, 257}
{17180036135, 593}
{17180205920, 312}
{25769966261, 403}
{25770070807, 202}
{25769966262, 418}
{25769863013, 255}
{17180205921, 312}
{17180036136, 581}
{17180205426, 650}
